"Title","Desc","Type","BodyPart","Equipment","Level","Rating","RatingDesc","Title_Original","BodyPart_Original","Equipment_Original","HasRating","RatingCategory","ComplexityScore","DescLength","ShortDesc"
"Dumbbell V-Sit Cross Jab","The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.","Strength","Abdominals","Dumbbell","Intermediate",9.3,"Average","Dumbbell V-Sit Cross Jab","Abdominals","Dumbbell",TRUE,"Doskonałe (9.0+)",3,261,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can ..."
"Dumbbell spell caster","The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.","Strength","Abdominals","Dumbbell","Beginner",9.3,"Average","Dumbbell spell caster","Abdominals","Dumbbell",TRUE,"Doskonałe (9.0+)",2,393,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it ..."
"Dumbbell side bend","The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.","Strength","Abdominals","Dumbbell","Intermediate",8.6,"Average","Dumbbell side bend","Abdominals","Dumbbell",TRUE,"Bardzo dobre (8.0-8.9)",3,241,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed f..."
"Dumbbell crunch","The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Dumbbell crunch","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,216,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight ..."
"Dumbbell T-hold","The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Dumbbell T-hold","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,330,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and u..."
"Dumbbell hollow-body floor press","The dumbbell hollow-body floor press combines upper-body strength and core work in one move.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Dumbbell hollow-body floor press","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,92,"The dumbbell hollow-body floor press combines upper-body strength and core work in one move."
"Dumbbell crusher","The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Dumbbell crusher","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,382,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It t..."
"Dumbbell Crunch - Gethin Variation","The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Dumbbell Crunch - Gethin Variation","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,216,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight ..."
"Single-arm dumbbell crunch","The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Single-arm dumbbell crunch","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,257,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to on..."
"Dumbbell straight-legged hip raise","The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Dumbbell straight-legged hip raise","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,120,"The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination."
"Seated leg tuck with dumbbell","The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Seated leg tuck with dumbbell","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,171,"The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for h..."
"Dumbbell V-sit cross jab-","The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Dumbbell V-sit cross jab-","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,261,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can ..."
"Standing dumbbell knee crunch-","The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.","Strength","Abdominals","Dumbbell","Intermediate",NA,"","Standing dumbbell knee crunch-","Abdominals","Dumbbell",FALSE,"Nie oceniono",3,188,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are work..."
"Landmine twist","The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.","Strength","Abdominals","Other","Intermediate",9.5,"Average","Landmine twist","Abdominals","Other",TRUE,"Doskonałe (9.0+)",3,497,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a lan..."
"Suspended ab fall-out","The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.","Strength","Abdominals","Other","Intermediate",9.3,"Average","Suspended ab fall-out","Abdominals","Other",TRUE,"Doskonałe (9.0+)",3,398,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is ..."
"Decline reverse crunch","The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.","Strength","Abdominals","Other","Intermediate",9.2,"Average","Decline reverse crunch","Abdominals","Other",TRUE,"Doskonałe (9.0+)",3,243,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs...."
"Weighted Crunches","The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.","Strength","Abdominals","Other","Intermediate",8.9,"Average","Weighted Crunches","Abdominals","Other",TRUE,"Bardzo dobre (8.0-8.9)",3,271,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a we..."
"Ab Roller","The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.","Strength","Abdominals","Other","Intermediate",8.9,"Average","Ab Roller","Abdominals","Other",TRUE,"Bardzo dobre (8.0-8.9)",3,333,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on e..."
"Otis-Up","The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.","Strength","Abdominals","Other","Intermediate",8.8,"Average","Otis-Up","Abdominals","Other",TRUE,"Bardzo dobre (8.0-8.9)",3,373,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It pr..."
"Captain's chair knee raise","The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.","Strength","Abdominals","Other","Intermediate",8.6,"Average","Captain's chair knee raise","Abdominals","Other",TRUE,"Bardzo dobre (8.0-8.9)",3,306,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allow..."
"Sledgehammer swing","The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.","Plyometrics","Abdominals","Other","Intermediate",8.6,"Average","Sledgehammer swing","Abdominals","Other",TRUE,"Bardzo dobre (8.0-8.9)",3,309,"The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed fro..."
"Pallof press","The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.","Strength","Abdominals","Other","Intermediate",8.4,"Average","Pallof press","Abdominals","Other",TRUE,"Bardzo dobre (8.0-8.9)",3,406,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or ban..."
"Weighted Sit-Ups - With Bands","The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.","Strength","Abdominals","Other","Intermediate",8,"Average","Weighted Sit-Ups - With Bands","Abdominals","Other",TRUE,"Bardzo dobre (8.0-8.9)",3,245,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight ..."
"Suitcase crunch","The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.","Strength","Abdominals","Other","Intermediate",NA,"Average","Suitcase crunch","Abdominals","Other",FALSE,"Nie oceniono",3,293,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" mus..."
"Rope Jumping","Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.","Strength","Abdominals","Other","Intermediate",NA,"","FYR Rope Jumping","Abdominals","Other",FALSE,"Nie oceniono",3,298,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes..."
"press sit-up","The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.","Strength","Abdominals","Other","Intermediate",NA,"","Barbell press sit-up","Abdominals","Other",FALSE,"Nie oceniono",3,419,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser ..."
"Single-arm bent-over rear delt fly","The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.","Strength","Abdominals","Other","Intermediate",NA,"","Single-arm bent-over rear delt fly","Abdominals","Other",FALSE,"Nie oceniono",3,446,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shou..."
"Captain's chair leg raise","The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.","Strength","Abdominals","Other","Intermediate",NA,"","Captain's chair leg raise","Abdominals","Other",FALSE,"Nie oceniono",3,314,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows..."
"Ab Twist - Gethin Variation","The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.","Strength","Abdominals","Other","Intermediate",NA,"","Ab Twist - Gethin Variation","Abdominals","Other",FALSE,"Nie oceniono",3,335,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack""..."
"Weighted Crunch - Gethin Variation","The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.","Strength","Abdominals","Other","Intermediate",NA,"","Weighted Crunch - Gethin Variation","Abdominals","Other",FALSE,"Nie oceniono",3,245,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight ..."
"Ab Wheel Roll-Out - Gethin Variation","The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.","Strength","Abdominals","Other","Intermediate",NA,"","Ab Wheel Roll-Out - Gethin Variation","Abdominals","Other",FALSE,"Nie oceniono",3,333,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on e..."
"Bench crunch","The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.","Strength","Abdominals","Other","Intermediate",NA,"","Bench crunch","Abdominals","Other",FALSE,"Nie oceniono",3,374,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise perform..."
"Decline plate sit-up twist","The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Strength","Abdominals","Other","Intermediate",NA,"","Decline plate sit-up twist","Abdominals","Other",FALSE,"Nie oceniono",3,321,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" mu..."
"Reverse ab roll-out","The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.","Strength","Abdominals","Other","Intermediate",NA,"","Reverse ab roll-out","Abdominals","Other",FALSE,"Nie oceniono",3,353,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar t..."
"30 Seated Twist With PVC Pipe","The seated bar twist is a core exercise aiming to strengthen the obliques.","Strength","Abdominals","Other","Intermediate",NA,"","30 Seated Twist With PVC Pipe","Abdominals","Other",FALSE,"Nie oceniono",3,74,"The seated bar twist is a core exercise aiming to strengthen the obliques."
"Suspended crunch-","The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.","Strength","Abdominals","Other","Intermediate",NA,"","Suspended crunch-","Abdominals","Other",FALSE,"Nie oceniono",3,264,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It t..."
